Number,Level,Problem,Word/Equation,Equation Corresponding,Answer
17,1,"Hernando can't remember how much money he had in his wallet before lunch. He knows he spent $8 on lunch at Chipotle, and he has $13 left in his wallet now. How much money did he have before lunch?",Word Problem,x-8=13,21.00
1,2,"Thu and Cleo are sharing the driving on a 520 mile trip. If Thu drives 60 miles more than Cleo, how far did each of them drive?",Word Problem,520 = x + (60+x),230.00
2,2,"Linnea is planning on cooking dinner with three of her friends. Linnea’s mom agrees to contribute $12 towards the cost of ingredients, and Linnea and each of her friends agree to split remaining cost equally. If the ingredients cost $24, how much will Linnea end up spending?",Word Problem,24 = 12 + 4x,3.00
3,2,75 = 8x + 11,Equation,,8.00
4,2,"You hop in a taxi for 17 minutes, and you know that they charge a base fee (an amount charged before any minutes have gone by) and $2 per minute. After the trip, $40 dollars total is charged. How much was the base fee?",Word Problem,17*2 + x = 40,6.00
5,2,The sum of two numbers is 12. One number is 4 more than the other. What is the value of the larger number? ,Word Problem,12 = (x-4) + x,8.00
6,2,23 = 5x - 7,Equation,,6.00
7,2,"The school is putting in a new row of lockers! You have 100 feet of space, and each locker is 1 ½ feet wide. There needs to be 5 feet of extra space at each end of the row. How many lockers can you put in?",Word Problem,100 = 1.5x + 10,60.00
8,2,"You are at school assembly and getting bored. You know the next class is supposed to start in 40 minutes, and the teachers usually allow 10 minutes after assembly for you to get back to class. You estimate each speaker is about 6 minutes. If there are only speakers remaining in assembly, how many more speakers are there?",Word Problem,40 = 10+6x,5.00
9,2,4x+7=19,Equation,,3.00
10,2," I am some number. Multiply me by 6, and add 4 and you get 10. What number am I?",Word Problem,6x+4=10,1.00
11,2,Last week Javier had twice as many stickers as Daniel. Then Daniel received 12 stickers for his birthday. Together they now have 90 stickers. How many stickers did Daniel have last week?,Word Problem,3x + 12 - 12 = 102 - 12,30.00
12,2,131 = 6x + 11,Equation,,20.00
13,2,"Sunny Hill Farms and Babbling Brooks Farms both raise hens. Sunny Hill Farms has 35 hens. Babbling Brooks Farms has 15 hens. If together the farms have 500 eggs at the end of the week, and each hen laid the same number of eggs, how many eggs did each hen lay last week?
",Word Problem,(35+15)x= 500,10.00
14,2,"Felix wants to buy a new pair of shoes that cost $30. He has $15 now, and knows he can earn $5 a week helping his grandma with yard work. How many weeks will it take Felix to be able to afford the shoes?",Word Problem,5x+15=30,3.00
15,2,520 = x + (x+60),Equation,,230.00
16,2,Jason had 131 dollars to spend. After buying 5 books he had 11 dollars left. Each book costs the same amount. How much did each book cost?,Word Problem,111 = 5x + 11,20.00
17,2,36 = 12 + 4x,Equation,,6.00
18,2,50 = 10+4x,Equation,,10.00
19,2,12*3 + x = 43,Equation,,7.00
20,2,12 = x + (x - 4),Equation,,8.00
21,2,6x + 4 = 10,Equation,,1.00
1,3,"Alicia bought 3 notebooks and 2 binders, and her sister agreed to pay for the notebooks. Unfortunately, Alicia can’t remember the cost of the notebooks! She does remember that each binder cost $1 more than each notebook and that she spent $12 total. How much does Alicia’s sister need to pay Alicia?",Word Problem,3x + 2(x+1) = 12,2.00
2,3,"Philippe and Finn go to see a movie. Each buys a ticket for $7 and a slushie, spending $18 together. How much does one slushie cost?",Word Problem,2(7+x)=20,3.00
3,3,4x + 2x = 24,Equation,4x + 2x = 24,4.00
4,3,"Jordan goes to the grocery store and buys one bag of chocolate, one bag of caramel, and one bag of lollipops. A bag of chocolate costs two dollars more than three times as much as a bag of caramel, and a bag of lollipops costs as much as buying a bag of caramel and a bag of chocolate. If Jordan spends 20 dollars for the three bags, how much does a bag of chocolate cost?",Word Problem,x + 3x + 2 + (x + 3x + 2) = 20,2.00
5,3,"Kim is three years older than her sister Jess and half as old as her cousin Lexi. If they add their ages together, they get 37. How old is Jess?",Word Problem,(x+3)+x+2(x+3)= 37,7.00
6,3,3(x+2) + 4x = 27,Equation,3(x+2) + 4x = 27,3.00
7,3,"Jeremiah had a busy Saturday morning! Starting at 9:00 am, he cleaned his bedroom for a while. Then he helped his mom clean the garage for four times as long as he had spent cleaning his room. Finally he cooked breakfast with his sister for ten minutes fewer than the time he had spent cleaning his room, until 9:56am. How many minutes did Jeremiah spend cleaning his room in the morning?",Word Problem,x + 4x + (x - 10) = 56,11.00
8,3,"Izumi is running the mile (4 laps) at a track meet. She knows that she can run her first lap in 75 seconds. Izumi also knows that her second and third laps are the same speed, while her final lap is normally 9 seconds faster than her third lap. If she wants to finish in 6 minutes, how fast should her second lap be? (Note: there are 60 seconds in 1 minute)",Word Problem,75 + x + x + (x - 9) = 360,98.00
9,3,5(x+5) - 2(2x+4) = 18,Equation,5(x+5) - 2(2x+4) = 18,1.00
10,3,"Jamal has three reading assignments to complete. In total he has to read 70 pages. Assignment 2 is twice as long as assignment 1, and assignment 3 is four times long as assignment 1. How many pages is his shortest assignment?",Word Problem,x+2x + 4x=70,10.00
11,3,"Malia and Megan ordered 3 pizzas and each pizza had 8 slices. Their friend Nilver ate 4 slices of pizza, their friend Shayna ate twice as many pieces as Nilver. Malia and Megan ate all of the remaining slices. How many slices did Malia and Megan eat?",Word Problem,4 + 2(4) + x = 3*8,12.00
12,3,2(2x + 5 + x) + 10 - x = 100,Equation,2(2x + 5 + x) + 10 - x = 100,16.00
13,3,"Shailee and Sofia are on a roadtrip to see their grandparents. They drive for a while before stopping for lunch. After that, they drive again for 3 hours before getting gas. Before reaching their grandparents house, they drive 1 hour less than twice as long as they drove before the first stop. In total, they drove 14 hours on their trip. How long did they drive before the first stop, for lunch?",Word Problem,x + 3 + 2x - 1 = 14,4.00
14,3,"Marcos picked up three books from the library. The Uglies is twice as long as A Wrinkle In Time, and The Wrinkle In Time has forty pages longer than The BFG. Altogether, the three books have 960 pages. How many pages long is The BFG?",Word Problem,x + (x + 40) + 2(x + 40) = 960,210.00
15,3,3(x + 8) + 2(x + 1) = 36,Equation,3(x + 8) + 2(x + 1) = 36,2.00
1,4,Frankie and Lana are both selling candy for a school fundraiser. Frankie sells three boxes of chocolate in addition to $12 worth of hard candies. Lana sells seven boxes of chocolate and brags that she has earned $4 more than Frankie. How much does each box of chocolates cost?,Word Problem,3c + 12 = 7c - 4,4.00
2,4,"Monica and Bridget bought the same binders for school, and after filling them with school supplies, they weigh the same amount! Monica’s binder contains a pencil pouch that weighs 2 pounds and 3 notebooks. Bridget’s binder contains a stapler that weighs 1 pound, a pack of crayons that weighs 2 pounds, and 2 notebooks. How much does 1 notebook weigh?",Word Problem,2 + 3n = 1 + 2 + 2n,1.00
3,4,3x+1=x+9,Equation,,4.00
4,4,"Jimmy always goes on runs that are the same distance. Last week he went on a run where he ran his favorite trail 2 times and then ran 3 miles to the park. Today, he ran his favorite trail 3 times and then ran 1 more mile. How many miles is his favorite trail?",Word Problem,2f + 3 = 3f + 1,2.00
5,4,"Samantha and Carlos wore braces for the same number of years. Samantha can’t remember how many years her doctor said she would need braces for, but she knows she had braces for 3 years longer than the doctor expected. Carlos had braces for twice as long as Samantha was supposed to. How long was Samantha supposed to have braces for?",Word Problem,s + 3 = 2s,3.00
6,4,2t +15 = 4t + 5,Equation,,5.00
7,4,"In middle school, Frank and AJ went to the same number of dances. Frank went to 2 dances in 6th grade, and 3 dances in 7th grade. AJ didn’t go to any dances 6th grade, and went to to 1 dance in 7th grade. In 8th grade AJ went to three times as many dances as Frank. How many dances did Frank go to in 8th grade?",Word Problem,2 + 3 + x = 1 + 3x,2.00
8,4,"Samantha and Elsa have the same number of photos on their phones, and all of their pictures are either selfies or pictures of their pet. Samantha’s phone has 5 times as many selfies as Elsa’s. Elsa’s phone has 20 pictures of her dog, and Samantha’s phone has 4 pictures of her cat. How many selfies does Elsa have on her phone?",Word Problem,5s + 4 = s + 20,4.00
9,4,3(p + 3) + 1 = p + 24,Equation,,7.00
10,4,"Every Friday, Lola has her friends over and they eat pizza rolls. Last week her friends made 3 boxes of pizza rolls and ate 5 pizza rolls that were leftover in the fridge. This week they ate 4 boxes of pizza rolls and ate 3 more rolls than they ate last week. How many pizza rolls are there in one box?",Word Problem,3x + 5 = 4x - 3,8.00
11,4,"Frank has eleven siblings, and they all like to eat cheese sticks. Their dad buys the same number of cheese sticks every week. Last week, Frank ate many cheese sticks, and each of his siblings ate three cheese sticks. This week, Frank and his sister Sofia each ate one more than Frank had eaten the week before, and each of their other siblings ate two cheese sticks. How many cheese sticks did Frank eat last week?",Word Problem,x + 33 = 2(x+1) + 20,11.00
12,,y + 3 = 10y -15,Equation,,2.00
13,4,"Gretchen plays the clarinet, and her teacher has a required amount of time that a practice session is supposed to last. Last week she practiced the required amount of time 6 times, and practiced for 30 extra minutes on Thursday. This week she practiced the required amount 5 times and practiced 90 minutes less this week than last week. How long does Gretchen’s teacher require that a practice session last?",Word Problem,6x + 30 = 5x + 90,60.00
14,4,"Ron and Harry love to tell jokes. On Tuesday Ron told 3 jokes in each class period and Harry told 5 jokes in each class period. Ron also told 8 jokes during lunch, and Harry told 2 jokes during lunch. If they only told jokes during class and at lunch, and they both told the same number of jokes on Tuesday, how many class periods were there on Tuesday?",Word Problem,3x + 8 = 5x + 2,3.00
15,4,7(x+1) = 4x + 43,Equation,,12.00
